stopword
물론
물질
미니
미래
미혼
민
민족
민효
믿음
바깥
바람
바로
바보
바탕
박
밖
반
반대편
반복
반사
반영
반환
발견
발생
발전
발현
밤
방
방문
방법
방식
방향
배
배경
배달
배수
배우자
배정
배포
배회
백
버금
버스
버전
버튼
번역
번호
범위
법칙
변경
변모
변화
변환
별도
별명
병합
보고서
보관
보조
보조자
보통
복사
복수
복제
복합
본
본래
본문
본인
봄
부
부각
부녀
부분
부서
부위
부자
부정
부족
부품
부호
북극
분
분리
분석
분자
불가
불꽃
불여
불합격
불합리
브
비교
비교적
비동의
비등
비밀
비중
비판
비혼
빈도
빈틈
빼기
사
사각형
사건
사고
사나
사람
사랑
사례
사물
사상
사실
사업
사업가
사업자
사업장
사용
사용법
사용서
사원
사유
사이
사이트
사장
사전
사정
사진
사촌
사항
사회
사흘
삭제
산물
산업
산촌
산출
산출물
삼
삼각형
삼촌
삽입
상
상관
상당수
상대
상대적
상부
상세
상위
상층부
상태
상황
새벽
생각
생김
생략
생산
생성
생활
서
서명
서술
선
선생
선생님
선수
선언
선정
선택
선행
설
설계
설명
설명서
설정
설치
성공
성과
성분
성장
성질
섵
세계
세기
세기말
세모
세부
세상
세트
셋
셜
소개
소녀
소년
소량
소모품
소비
소생
소수
소외
소요
소유
소인
속
속도
속성
손님
송신
수
수단
수동
수립
수명
수술
수술실
수스
수신
수업
수용자
수인
수정
수준
수중
수직
수평
수행
순간
순서
순차
숫자
쉬움
쉼표
스
스스로
스타일
시
시각
시간
시계
시골
시공간
시기
시대
시도
시작
시작점
시장
시행
시험
식당
식별
신경
신문
신호
실로
실수
실제
실천
실패
실행
실행력
실험
실험실
실효
십
싱
씩
아
아낙
아낙네
아내
아니
아래
아버지
아빠
아이
아이디
아저씨
아주머니
아줌마
아홉
악기
안
안정
앞
야
야기
약간
약수
약자
약점
양
양분화
양상
양식
양쪽
얘기
어
어구
어디
어려움
어른
어린이
어린이집
어머니
어촌
억제
언급
언니
언어
얼마
얼마간
얼마큼
엄마
업계
업로드
업자
업장
업체
에
에서
여
여기
여덟
여부
여섯
여성
여인
여자
여편네
여행
역
역할
연간
연결
연구
연산
연속
연쇄
연장
열
열기
엽
영
영구
영역
영향
예
예상
예시
예외
예전
옛
옛날
오
오늘날
오라버니
오른쪽
오빠
오전
오픈
오후
온점
옷
옹호
와
와의
완료
완만
완벽
완성
완수
완화
왜
외국
외부
왼쪽
요구
요소
요약
요원
요인
요일
용도
용어
용이
용인
용품
우
우리
우수
우위
운동
운영
운운
원
원래
원리
원본
원인
원자
원활
월
위
위치
위협
유
유료
유리
유용
유일
유전
유지
유추
유치원
유형
유효
육
육신
육안
윤
으로
은
을
을 
음식
응
응답
응용
의
의도
의문
의미
의사
의상
의식
이
이곳
이동
이동한
이러한
이런
이론
이름
이모
이모부
이미지
이번
이사
이상
이야기
이외
이용
이웃
이유
이익
이전
이제
이젠
이중
이천
이천이십
이투
이틀
이하
이해
이혼
이후
인
인도
인력
인물
인서
인수
인용
인원
인자
인접
인증
일
일곱
일당
일때
일반
일보
일부
일부분
일상
일수
일시
일자
일정
일조
일주일
일치
임
임무
임원
임의
임직원
임포
입력
입장
입출력
있다
자
자기
자동
자동예상
자료
자리
자면
자손
자식
자신
자연
자연수
자유
자체
자판기
작가
작동
작성
작업
작용
작은형
작음
작품
잠깐
잠시
장
장기
장남
장녀
장비
장소
장애
장애물
장점
장치
재량
재미
저
저녁
저자
저작
저장
저해
저희
적용
전
전개
전달
전략
전문가
전문점
전방
전부
전체
전형
전후
절대
절반
절차
점
점진
접근
접속
접시
정도
정렬
정리
정립
정보
정부
정상
정수
정신
정오
정의
정책
정확
제
제각기
제거
제공
제목
제외
제작
제조
제품
제휴
조
조각
조건
조금
조립
조사
조절
조정
조직
존재
좀
종
종료
종류
종일
종착점
종합
좌
주
주관
주기
주류
주목
주문
주방
주변
주소
주요
주의
주의자
주인
주제
주차
죽
준비
준시
줄
중
중간
중대
중독
중략
중반
중복
중소
중심
중요
중장기
중지
중학교
중학생
즈
즉
즉시
증가
지
지금
지방
지속
지수
지시
지식
지역
지원
지음
지점
지정
지침
지탱
지하철
지향
직시
직원
직접
진수
진실
진행
질문
질의
짐
집
집단
집중
집행
차
차례
차별
차원
차이
차이점
차지
찰나
참
참고
참인
참조
창
창작
책
책임
챕터
처
처남
처리
처음
천
철저
첨가
첫걸음
첫번
청소년
체계
초기
초등학생
초반
초보
초점
촉진
촌
총
총각
최
최고
최근
최대
최대한
최상위
최소
최소한
최신
최우수
최저
최종
최초
최후
추
추가
추구
추돌
축소
춘
출력
출물
출발
충격
충돌
충실
충족
취급
측면
측정
층
치
친구
칠
칸
캘린더
캡션
컴
코
쿵
쿼터
퀴즈
퀸
크기
키
킹
타임
탓
택시
터
테스트
토대
토리
토지
톤
통과
통제
통합
투두
툭
트
트시
특별
특성
특수
특정
특징
틀
틈타
팀
파
파악
파일
판
판단
판매
팔
편리
편의
평가
평균
평면
포괄
포함
표
표시
표준
표출
표현
품
품목
필
필수
필연
필요
하
하나
하루
하부
하위
하인
학교
학문
학생
한계
한국인
한편
할당
할머니
할아버지
함
합
합격
합리
합불
항
항목
항상
해
해결
해당
해석
해소
핵심
행동
행사
행위
허
허용
혁신
현대
현상
현실
현재
형
형성
형식
형제
형태
호
호명
호출
혼
혼동
혼자
혼합
화
화면
확대
확립
확보
확인
확장
환경
활동
활용
황
회사
효과
후
후기
후략
후반
후방
휴
흐름
힌
힘
